Incremental round,Total scanned items,Total scanned folders,Total scanned list items,Total scanned files,Folders with issues,Items with issues,Items filtered out,Folders to be migrated,Items to be migrated,Total items to be migrated,Device name
"R1","11","4","7","0","0","0","0","4","7","0","YANISTA"
"R2","11","4","7","0","0","0","0","0","0","0","YANISTA"
