Structure type,Structure title,Operation,Status,Details,Source structure URL,Destination structure URL,Source structure ID,Destination structure ID,Time stamp
"Feature","Translation","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","4e7276bc-e7ab-4951-9c4b-a74d44205c32","","2018-10-26 16:59:26"
"Feature","ExcelServerWebPart","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","4c42ab64-55af-4c7c-986a-ac216a6e0c0e","","2018-10-26 16:59:26"
"Feature","SearchWebParts","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","eaf6a128-0482-4f71-9a2f-b1c650680e77","",""
"Feature","BizAppsCTypes","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","43f41342-1a37-4372-8ca0-b44d881e4434","","2018-10-26 16:59:26"
"Feature","LocationBasedPolicy","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","063c26fa-3ccc-4180-8a84-b6f98e991df3","","2018-10-26 16:59:26"
"Feature","RecordResources","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","5bccb9a4-b903-4fd1-8620-b795fa33c9ba","","2018-10-26 16:59:27"
"Feature","BasicWebParts","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","00bfea71-1c5e-4a24-b310-ba51c3eb7a57","",""
"Feature","EnterpriseWikiLayouts","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","a942a218-fa43-4d11-9d85-c01e3e3a37cb","","2018-10-26 16:59:27"
"Feature","VideoAndRichMedia","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","6e1e5426-2ebd-4871-8027-c5ca86371ead","","2018-10-26 16:59:28"
"Feature","IPFSSiteFeatures","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","c88c4ff1-dbf5-4649-ad9f-c6c426ebcbf5","",""
"Feature","DocId","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","b50e3104-6812-424f-a011-cc90e6327318","","2018-10-26 16:59:33"
"Feature","BizAppsFields","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","5a979115-6b71-45a5-9881-cdc872051a69","","2018-10-26 16:59:34"
"Feature","MobileExcelWebAccess","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","e995e28b-9ba8-4668-9933-cf5c146d7a9f","","2018-10-26 16:59:34"
"Feature","MossChart","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","875d1044-c0cf-4244-8865-d2a0039c2a49","","2018-10-26 16:59:34"
"Feature","LocalSiteDirectoryControl","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","14aafd3a-fcb9-4bb7-9ad7-d8e36b663bbd","","2018-10-26 16:59:34"
"Feature","ExcelServerSite","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","3cb475e7-4e87-45eb-a1f3-db96ad7cf313","","2018-10-26 16:59:35"
"Feature","AccSrvSolutionGallery","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","744b5fd3-3b09-4da6-9bd1-de18315b045d","","2018-10-26 16:59:35"
