Incremental round,Scanned,Item scan failures,Filtered out items,Expected migrated file count,Read,Packaged,Uploaded,ReUploaded,Submitted,ReSubmitted,Migrated,Failed reading,Failed packaging,Failed uploading,Failed submitting,Failed querying,Device name
R1,7,0,0,7,7,5,5,0,5,0,7,0,0,0,0,0,YANISTA
R2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YANISTA
