Source,Destination,Status,Total bytes,Total GB,Migrated bytes,Migrated GB,GB not migrated,Total scanned item,Total to be migrated,Migrated items,Items not migrated,Warning count,Start time,End time,Duration,GB/hour,Round number,Workflow ID,Task ID,Log Path
"http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/sites/Poll007007","Failed","0","0","0","0","0","0","0","0","0","0","10/24/2018 10:32:21 AM","","0:01:07","0","1","d81b31f5-79e8-42c0-ab99-c5b58882062f","3b45e9f5-61fd-4dd3-947d-91646626867a","C:\Users\sibourda\AppData\Roaming\Microsoft\MigrationTool\microsoft.com\WF_d81b31f5\Report\TaskReport_3b45e9f5"
"C:\Users\sibourda\Documents\OneNote Notebooks","Microsoft.SharePoint.MigrationTool.MigrationLib.Common.SpWebUri","Completed","0","0","0","0","0","0","0","0","0","0","2/8/2018 9:16:21 AM","2/8/2018 9:16:43 AM","0:00:21","0","2","44c7dcf1-9838-4998-a692-b554b924701e","240e7879-31c0-4c34-9f7e-2dcf41f82a48","C:\Users\sibourda\AppData\Roaming\Microsoft\MigrationTool\microsoft.com\WF_44c7dcf1\Report\TaskReport_240e7879"
"http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/sites/Poll","Failed","0","0","0","0","0","0","0","0","0","0","9/12/2018 9:25","","1:06:32","0","1","8e4527be-d2db-42cf-b985-63c18e504766","d9d03baa-fdda-4907-b39c-9ec0ddef351f","C:\Users\sibourda\AppData\Roaming\Microsoft\MigrationTool\microsoft.com\WF_8e4527be\Report\TaskReport_d9d03baa"
"http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll","https://microsoft.sharepoint-df.com/teams/Poll007007","Completed","10188299","0.01","10188299","0.01","0","52","52","52","0","0","10/24/2018 10:35","10/24/2018 10:50","0:15:24","0.04","1","5c75ad21-4f8a-4483-b134-14d149c5eb15","12047ae1-6b13-4929-9c0a-1ac943eef4ad","C:\Users\sibourda\AppData\Roaming\Microsoft\MigrationTool\microsoft.com\WF_5c75ad21\Report\TaskReport_12047ae1"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma","https://microsoft-my.sharepoint-df.com/personal/sibourda_microsoft_com","In progress","0","0","0","0","0","0","0","0","0","0","10/30/2018 8:51:33 AM","","0:10:30","0","1","75acbe10-3f85-43c8-8507-a1a214c92b78","486152c7-9c82-4cee-8300-1e807d62a6c8","C:\Users\bourd\AppData\Roaming\Microsoft\MigrationTool\microsoft.com\WF_75acbe10\Report\TaskReport_486152c7"
