Source,Destination,Item name,Extension,Item size,Content type,Status,Result category,Message,Source item ID,Destination item ID,Package number,Migration job ID,Incremental round,Task ID,Device name
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\icon_contact_email.gif","/phpBB3/styles/Relief/imageset/icon_contact_email.gif","icon_contact_email.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","e30cb254-7a8c-5e39-a8bf-a77284aa7d99","e30cb254-7a8c-5e39-a8bf-a77284aa7d99","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\icon_contact_icq.gif","/phpBB3/styles/Relief/imageset/icon_contact_icq.gif","icon_contact_icq.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","88179d33-4478-54de-935b-0ee626f2b09e","88179d33-4478-54de-935b-0ee626f2b09e","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\icon_contact_jabber.gif","/phpBB3/styles/Relief/imageset/icon_contact_jabber.gif","icon_contact_jabber.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","6a73c439-8a8e-542d-8917-d3f5720d55e4","6a73c439-8a8e-542d-8917-d3f5720d55e4","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\icon_contact_msnm.gif","/phpBB3/styles/Relief/imageset/icon_contact_msnm.gif","icon_contact_msnm.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","6ad413ad-c222-5719-8a46-cb769b4f01e9","6ad413ad-c222-5719-8a46-cb769b4f01e9","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\icon_contact_www.gif","/phpBB3/styles/Relief/imageset/icon_contact_www.gif","icon_contact_www.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","8732a457-a240-5adb-a54d-d118f2ff44f6","8732a457-a240-5adb-a54d-d118f2ff44f6","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\icon_contact_yahoo.gif","/phpBB3/styles/Relief/imageset/icon_contact_yahoo.gif","icon_contact_yahoo.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","86d3e1d7-3c5d-508d-8daf-bb563e0ee615","86d3e1d7-3c5d-508d-8daf-bb563e0ee615","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\icon_offline.gif","/phpBB3/styles/Relief/imageset/icon_offline.gif","icon_offline.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","c9afd257-0a2a-58a5-956e-8932524e761f","c9afd257-0a2a-58a5-956e-8932524e761f","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\icon_online.gif","/phpBB3/styles/Relief/imageset/icon_online.gif","icon_online.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","db44424f-f956-54b0-9900-83f9bf6adedf","db44424f-f956-54b0-9900-83f9bf6adedf","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\icon_post_delete.gif","/phpBB3/styles/Relief/imageset/icon_post_delete.gif","icon_post_delete.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","c717f7c3-0a35-50de-8967-45d94f823dd1","c717f7c3-0a35-50de-8967-45d94f823dd1","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\icon_post_info.gif","/phpBB3/styles/Relief/imageset/icon_post_info.gif","icon_post_info.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","845979de-dc7c-5471-b7e1-791507c46bf7","845979de-dc7c-5471-b7e1-791507c46bf7","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\icon_post_report.gif","/phpBB3/styles/Relief/imageset/icon_post_report.gif","icon_post_report.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","0b118a90-afe9-531f-a338-ba3fff793e6a","0b118a90-afe9-531f-a338-ba3fff793e6a","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\icon_post_target.gif","/phpBB3/styles/Relief/imageset/icon_post_target.gif","icon_post_target.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","8571f2d2-14b2-51db-962c-f8f6e8a8d1f5","8571f2d2-14b2-51db-962c-f8f6e8a8d1f5","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\icon_post_target_unread.gif","/phpBB3/styles/Relief/imageset/icon_post_target_unread.gif","icon_post_target_unread.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","564910fc-871c-5011-9b4f-d35f992b545a","564910fc-871c-5011-9b4f-d35f992b545a","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
"S:\Onedrive\Onedrive consumer\OneDrive\Site Carma\phpBB3\styles\Relief\imageset\icon_rate_bad.gif","/phpBB3/styles/Relief/imageset/icon_rate_bad.gif","icon_rate_bad.gif",".gif","0","Item","Failed","SCAN FAILURE","Scan File Failure:Could not retrieve file's metadata","e52ad7ce-e8ec-5e90-980d-68bde3f0eead","e52ad7ce-e8ec-5e90-980d-68bde3f0eead","N/A","N/A","R1","486152c7-9c82-4cee-8300-1e807d62a6c8","YANISTA"
