Serial#,Time,Status,ScanItems,ScanFiles,ScanBadFiles,ScanFilterout,ScanTotalBytes,BytesMigrated,FinishedPacks,MigratedPacks,FinishedFiles,MigratedFiles,WorklistCount,CurrentPackedPks,CurrentUploadedPks,CurrentSubmittedPks,Thread_Pack,Thread_Upload,Thread_Submit,Thread_Total,Errors,Warnings,Memory
"0","2018-10-26 10:02:28","INPROGRESS","11","7","0","0","94044","94044","0","0","7","7","0","0","0","0","0","0","0","5","0","0","216612864"
"1","2018-10-26 10:02:52","INPROGRESS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","255332352"
"2","2018-10-26 10:03:56","INPROGRESS","10","6","0","0","68953","68953","0","0","6","6","0","0","0","0","10","0","0","17","0","0","279916544"
"3","2018-10-26 10:03:57","INPROGRESS","11","7","0","0","94044","94044","0","0","7","7","0","0","0","0","10","0","0","17","0","0","280829952"
"4","2018-10-26 10:03:58","COMPLETED","11","7","0","0","94044","94044","0","0","7","7","0","0","0","0","0","0","0","1","0","0","278642688"
