Serial#,Time,Status,ScanItems,ScanFiles,ScanBadFiles,ScanFilterout,ScanTotalBytes,BytesMigrated,FinishedPacks,MigratedPacks,FinishedFiles,MigratedFiles,WorklistCount,CurrentPackedPks,CurrentUploadedPks,CurrentSubmittedPks,Thread_Pack,Thread_Upload,Thread_Submit,Thread_Total,Errors,Warnings,Memory
"0","2018-10-26 09:55:49","SCANNING","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","172359680"
"1","2018-10-26 10:00:50","INPROGRESS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","212119552"
"2","2018-10-26 10:01:10","INPROGRESS","11","7","0","0","94044","0","0","0","0","0","0","0","0","0","10","0","0","17","0","0","217796608"
"3","2018-10-26 10:01:47","INPROGRESS","11","7","0","0","94044","0","0","0","0","0","1","1","0","0","0","0","0","5","0","0","208125952"
"4","2018-10-26 10:01:50","INPROGRESS","11","7","0","0","94044","0","0","0","0","0","1","0","0","0","0","1","0","6","0","0","213106688"
"5","2018-10-26 10:02:04","INPROGRESS","11","7","0","0","94044","0","0","0","0","0","1","0","1","0","0","0","0","5","0","0","213364736"
"6","2018-10-26 10:02:05","INPROGRESS","11","7","0","0","94044","0","0","0","0","0","1","0","0","1","0","0","0","5","0","0","214654976"
