Item#,TaskId,Hash,Type,MethodName,Message,StackTrace,Time,AllMessage
"55","053c8af4-3763-4644-a932-e7435b4d779d","fc9acd98","Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException","Create(WebException e)","","   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.<>c__DisplayClass1c.<Is404Page>b__1a()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.<>c__DisplayClass15.<RunWithRetry>b__14()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry(Action logicToRetry, Int32 retryCount, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.Is404Page(String pageUrl)","10/26/2018 10:00:30 AM","Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException ---> System.Net.WebException: The remote server returned an error: (403) Forbidden.\r\n   at System.Net.HttpWebRequest.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.<>c__DisplayClass1c.<Is404Page>b__1a()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.<>c__DisplayClass15.<RunWithRetry>b__14()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry(Action logicToRetry, Int32 retryCount, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.Is404Page(String pageUrl)"
"154","053c8af4-3763-4644-a932-e7435b4d779d","fc9acd98","Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException","Create(WebException e)","","   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.<>c__DisplayClass1c.<Is404Page>b__1a()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.<>c__DisplayClass15.<RunWithRetry>b__14()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry(Action logicToRetry, Int32 retryCount, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.Is404Page(String pageUrl)","10/26/2018 10:03:32 AM","Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebCredentialException ---> System.Net.WebException: The remote server returned an error: (403) Forbidden.\r\n   at System.Net.HttpWebRequest.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   --- End of inner exception stack trace ---\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Web.WebExceptionBase.Create(WebException e)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.Net.HttpWebRequestProxy.GetResponse()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.<>c__DisplayClass1c.<Is404Page>b__1a()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.<>c__DisplayClass15.<RunWithRetry>b__14()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry[T](Func`1 logicToRetry, Int32 retryCount, Int64 timeOutSeconds, Int32 retryIntervalMiliSeconds, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.Common.MIGUtilities.RunWithRetry(Action logicToRetry, Int32 retryCount, String errorMessage, Type[] retryExceptionTypes, Type[] nonRetryExceptionTypes)\r\n   at Microsoft.SharePoint.MigrationTool.MigrationLib.SharePoint.SiteAuthChecker.Is404Page(String pageUrl)"
